pregunta,correcta,incorrecta1,incorrecta2,incorrecta3,incorrecta4
"¿Qué evento global impulsó la aplicación del modelo ISI en América Latina?","La Gran Depresión","Primera Guerra Mundial","Revolución Industrial","Guerra Fría","Segunda Guerra Mundial"
"¿Cuál es la premisa básica del modelo ISI?","Reemplazar bienes importados por bienes locales","Incrementar la exportación","Reducir impuestos","Aumentar la inversión extranjera","Fomentar la agricultura"
"¿Qué modelo económico precede al ISI según algunos análisis?","Mercantilismo europeo","Liberalismo económico","Neoliberalismo","Socialismo","Comunismo"
"¿Qué países en América Latina se beneficiaron de la modernización agrícola bajo el ISI?","Argentina, Brasil y Chile","México, Perú y Bolivia","Colombia, Venezuela y Ecuador","Cuba, Haití y República Dominicana","Paraguay, Uruguay y Bolivia"
"¿Cuál fue la estrategia principal del modelo ISI para desarrollar industrias locales?","Protección comercial","Reducción de aranceles","Libre comercio","Privatización","Apertura de mercados"
"¿Qué ocurrió con las exportaciones de los países latinoamericanos durante la Gran Depresión?","Disminuyeron drásticamente","Aumentaron significativamente","Se mantuvieron estables","Se diversificaron","Se dirigieron hacia Asia"
"¿Qué sector económico mexicano se consolidó gracias a las políticas de Lázaro Cárdenas?","Sector manufacturero","Sector turístico","Sector agrícola","Sector de servicios","Sector pesquero"
"¿Qué tipo de bienes fueron prioritariamente sustituidos en la primera etapa del ISI?","Bienes de consumo","Bienes de capital","Bienes de lujo","Bienes tecnológicos","Bienes culturales"
"¿Qué país latinoamericano implementó la CORFO para fomentar la producción e industrialización?","Chile","Argentina","México","Brasil","Perú"
"¿Qué consecuencia positiva se destacó en Argentina durante el período del ISI?","Elevada tasa de urbanización","Aumento de la pobreza","Disminución de la inflación","Crisis económica","Reducción del empleo"
"¿Qué sector fue más dinámico en la economía mexicana en la década de 1950?","Sector manufacturero","Sector agropecuario","Sector pesquero","Sector minero","Sector de telecomunicaciones"
"¿Cuál fue una crítica importante al modelo ISI?","Eliminación de mecanismos de autorregulación","Expansión del mercado interno","Reducción de la deuda externa","Mejora en la distribución de la renta","Incremento de exportaciones"
"¿Qué país latinoamericano sufrió las desventajas de la no especialización productiva bajo el ISI?","Chile","Brasil","Argentina","México","Perú"
"¿Qué problema enfrentó Uruguay con la industrialización bajo el ISI?","Dependencia del capital extranjero","Falta de mano de obra","Exceso de producción","Insuficiente demanda interna","Desempleo masivo"
"¿Qué provocó el fin del modelo ISI en la mayoría de los países latinoamericanos?","Cambio hacia el neoliberalismo","Incremento de exportaciones","Fortalecimiento del modelo socialista","Aislamiento internacional","Incremento del proteccionismo"
"¿Qué país latinoamericano fue conocido como 'La Suiza de América' durante el auge del ISI?","Uruguay","Chile","Argentina","Brasil","Venezuela"
"¿Qué evento marcó el fin del modelo de 'enclave' en México?","Nacionalización del petróleo","Caída del mercado del salitre","Guerra Cristera","Firma del TLCAN","Muerte de Lázaro Cárdenas"
"¿Qué consecuencia negativa tuvo el proteccionismo excesivo del ISI en América Latina?","Bajo crecimiento de la demanda de exportaciones","Aumento del comercio exterior","Reducción de la deuda externa","Crecimiento de la clase media","Mejora en la tecnología"
"¿Qué entidad fue creada en Chile para asegurar la compra de productos de salitre?","COVENSA","CORFO","ENDESA","ENAP","MADEMSA"
"¿Qué país experimentó un giro liberalizador en su economía en la década de 1950, abandonando el ISI?","Chile","México","Argentina","Uruguay","Brasil"