pregunta;correcta;incorrecta1;incorrecta2;incorrecta3;incorrecta4
¿Qué es el capital constante según Marx?;Medios de producción;Fuerza de trabajo;Capital invertido;Ganancia de capital;Costo fijo
¿Qué representa el capital variable?;Fuerza de trabajo;Maquinaria;Insumos;Materia prima;Capital constante
¿Cómo se conserva el valor de los medios de producción?;Al transferirse al producto;Al reducir los costos;Mediante la plusvalía;Con la depreciación;Aumentando la productividad
¿Cuál es el efecto del trabajo productivo específico del obrero?;Conserva el valor anterior;Aumenta los costos;Genera desperdicio;Duplica el capital;Disminuye el valor de uso
¿Qué ocurre con los medios de producción al ser utilizados?;Transfieren su valor al producto;Generan plusvalía directa;Se mantienen constantes;Se duplican en valor;No afectan el valor final
¿Qué sucede con el valor de una máquina durante su vida útil?;Se transfiere al producto final;Se incrementa con el uso;Desaparece sin dejar rastro;Se mantiene constante;Crea un valor adicional
¿Cómo se calcula el desgaste de una máquina en la producción?;Por su uso promedio diario;Por la cantidad de producto generado;Por la cantidad de capital invertido;Por el tiempo de trabajo del obrero;Por el tipo de material procesado
¿Qué sucede con las materias primas durante el proceso de trabajo?;Cambian de forma pero transfieren su valor;Desaparecen completamente;No influyen en el valor del producto;Generan valor adicional;Aumentan su valor original
¿Qué pasa si un invento permite hilar en menos tiempo?;Se añade menos valor nuevo al producto;Se pierde todo el valor de la materia prima;El producto final tiene menos valor;Se elimina el capital constante;El trabajo se vuelve obsoleto
¿Qué se transfiere al producto al consumir medios de producción?;Su valor de uso;Su valor agregado;Su plusvalía;Su valor de mercado;Su costo de adquisición
¿Qué no puede transferir un medio de producción al producto?;Más valor del que pierde en su uso;Su valor total en un solo ciclo;Su valor de mercado;Su plusvalía;Su precio de compra
¿Qué es el 'devil's dust' en el proceso de hilado?;Desperdicio inevitable;Producto final;Materia prima adicional;Subproducto valioso;Máquina defectuosa
¿Cómo se conserva el valor de los medios de producción en el producto?;Por la forma útil del trabajo;Por la fuerza de trabajo;Por la inversión inicial;Por la depreciación controlada;Por la gestión del capital
¿Qué diferencia al capital constante del capital variable?;El capital constante no cambia de valor;El capital constante genera plusvalía;El capital variable no afecta el producto;El capital variable es fijo;Ambos son parte del costo total
¿Qué ocurre si el proceso de producción se interrumpe?;El obrero solo repone su fuerza de trabajo;El capitalista pierde todo su capital;No se transfiere valor al producto;Se genera doble valor;El valor del producto se duplica
¿Qué representa la parte variable del capital?;El capital invertido en fuerza de trabajo;El valor fijo del capital;El valor de los medios de producción;El costo total de producción;La plusvalía generada
¿Qué demuestra el doble carácter del trabajo?;La creación de nuevo valor y la conservación del valor;La generación de desperdicio y ganancia;El aumento y disminución de capital;La generación y consumo de plusvalía;La depreciación y valorización simultánea
¿Qué sucede con los medios de producción sin valor de uso?;No transfieren valor al producto;Aumentan el costo del producto;Generan un valor adicional;Conservan su forma original;Mejoran la productividad del obrero
¿Qué ocurre con la plusvalía generada en la producción?;Es parte del capital variable;Se pierde al final del proceso;Es absorbida por los medios de producción;Es parte del capital constante;No afecta el valor del producto
¿Cómo se transfiere el valor de un medio de producción al producto?;Por su desgaste durante el uso;Por la adición de trabajo adicional;Por la inversión de capital;Por la creación de plusvalía;Por su valor de mercado